Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Kobe Bryant,SG,6-6,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
Tim Duncan,FC,6-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
Michael Finley,G-F,6-7,225,Dallas Mavericks,Western All-Star Coaches Selection,1995 Rnd 1 Pick 21,United States
Kevin Garnett,PF,6-11,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States
Jason Kidd,PG,6-4,210,Phoenix Suns,Western All-Star Fan Vote Selection,1994 Rnd 1 Pick 2,United States
Karl Malone,PF,6-9,265,Utah Jazz,Western All-Star Coaches Selection,1985 Rnd 1 Pick 13,United States
Shaquille O'Neal,C,7-1,325,Los Angeles Lakers,Western All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
Gary Payton,G,6-4,180,Seattle SuperSonics,Western All-Star Coaches Selection,1990 Rnd 1 Pick 2,United States
David Robinson,C,7-1,250,San Antonio Spurs,Western All-Star Coaches Selection,1987 Rnd 1 Pick 1,United States
John Stockton,PG,6-1,170,Utah Jazz,Western All-Star Coaches Selection,1984 Rnd 1 Pick 16,United States
Rasheed Wallace,FC,6-11,230,Portland Trail Blazers,Western All-Star Coaches Selection,1995 Rnd 1 Pick 4,United States
Chris Webber,F-C,6-9,245,Sacramento Kings,Western All-Star Coaches Selection,1993 Rnd 1 Pick 1,United States
