Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Gilbert Arenas,G,6-3,191,Washington Wizards,Eastern All-Star Fan Vote Selection,2001 Rnd 2 Pick 2,United States
Chauncey Billups,G,6-3,210,Detroit Pistons,Eastern All-Star Coaches Selection,1997 Rnd 1 Pick 3,United States
Chris Bosh,PF,6-11,235,Toronto Raptors,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 4,United States
Caron Butler,SF,6-7,228,Washington Wizards,Eastern All-Star Coaches Selection,2002 Rnd 1 Pick 10,United States
Vince Carter,SF,6-6,220,New Jersey Nets,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 5,United States
Richard Hamilton,SG,6-7,193,Detroit Pistons,Eastern All-Star Coaches Selection,1999 Rnd 1 Pick 7,United States
Dwight Howard,C,6-11,265,Orlando Magic,Eastern All-Star Coaches Selection,2004 Rnd 1 Pick 1,United States
LeBron James,F,6-9,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States
Joe Johnson,SG,6-7,240,Atlanta Hawks,Eastern All-Star Replacement Selection,2001 Rnd 1 Pick 10,United States
Jason Kidd,PG,6-4,210,New Jersey Nets,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States
Jermaine O'Neal,FC,6-11,235,Indiana Pacers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 17,United States
Shaquille O'Neal,C,7-1,325,Miami Heat,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
Dwyane Wade,SG,6-4,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States
